first_name,last_name,urls
David,Pulver,['https://www.baseball-news-blog.com/2017/07/30/carters-inc-nysecri-given-average-rating-of-hold-by-brokerages-updated-updated-updated.html']
Bob,Diamond,"['http://www.insuranceinsider.com/diamond-in-advanced-talks-to-buy-hartford-va-unit', 'http://www.thewesternstar.com/news/local/2017/7/29/reclamation-of-the-shoal-point-wells-option-recommended.html']"
Pete,Rouse,"['http://www.cnn.com/2017/07/28/politics/reince-priebus-chief-of-staff-white-house-history/index.html', 'http://thehill.com/homenews/administration/344415-trump-mocked-obama-for-three-chiefs-of-staff-in-three-years', 'http://www.newsmax.com/John-Gizzi/john-kelly-trump-chief-staff/2017/07/28/id/804511/']"
Phillip,Frost,['https://kldaily.com/reasons-for-phillip-frosts-share-buy-of-opko-health-inc-nasdaqopks-stock/']
David,Pulver,['https://www.insidertradings.org/carters-cri-issues-third-quarter-corporate-forecast-on-company-earnings/44638.html']
Peter,Hart,['http://www.primemovermag.com.au/news/article/artsa-chair-hits-milestone']
Phillip,Frost,['https://kldaily.com/what-after-phillip-frosts-insider-purchase-of-opko-health-inc-nasdaqopk-stock/']
Richard,McVey,"['http://www.institutionalinvestor.com/article/3736662/banking-and-capital-markets-trading-and-technology/the-2017-tech-40.html', 'https://www.fool.com/investing/2017/07/27/marketaxess-holdings-inc-revenue-ticks-higher-on-i.aspx']"
Rick,McVey,['https://www.bloomberg.com/news/audio/2017-07-27/southwest-s-kelly-sees-proportion-of-larger-aircraft-in-fleet-g']
Scott,Brady,['http://www.sackvilletribunepost.com/sports/football/2017/7/27/mount-allison-s-star-quarterback-ready-to-return-to-action.html']
Jamie,Forese,"['http://www.businessinsider.com/why-the-word-network-is-so-crucial-to-citigroups-success-2017-7', 'https://fortune.com/2017/07/25/citigroup-investors-bailout-financial-crisis/', 'http://news.efinancialcareers.com/it-en/291038/whats-good-about-citis-investment-bank', 'https://www.businessinsider.com.au/why-the-word-network-is-so-crucial-to-citigroups-success-2017-7']"
James,Forese,['https://www.fnlondon.com/articles/citi-eyes-equities-and-banking-for-wallet-share-wins-20170726']
Barbro,Osher,['http://www.sfchronicle.com/entertainment/article/Kids-listings-11437719.php']
Bob,Diamond,['https://therealdeal.com/2017/07/26/buyer-of-50m-penthouse-at-15-cpw-just-shelled-out-big-money-for-432-park-pad/']
Rick,McVey,['https://www.ft.com/content/d2c17fe2-722b-11e7-93ff-99f383b09ff9']
Phillip,Frost,['http://weeklyregister.com/phillip-frost-an-insider-in-opko-health-inc-nasdaqopk-bought-45000-shares/']
David,Pulver,['http://www.firstnewspaper24.com/2017/07/carters-inc-nysecri-experiences-light-trading-volume/']
Jason,Klein,['https://motherboard.vice.com/en_us/article/j5qa7y/people-keep-getting-charged-with-a-crime-for-selling-bitcoin']
Eric,Piesner,['http://www.legalbusinessonline.com/deals/ke-mofo-skadden-warehouse-operator-glp%25E2%2580%2599s-116-bln-go-private-deal/74664']
Todd,Lachman,['http://www.satprnews.com/2017/07/18/sovos-brands-backed-by-advent-international-completes-acquisition-of-raos-specialty-foods/']
Bill,Rouhana,['http://www.avclub.com/article/ashton-kutcher-help-chicken-soup-soul-become-inspi-258250']
Amy,Walter,['http://www.military-technologies.net/2017/07/18/announcing-the-fall-2017-pritzker-fellows/']
Bob,Diamond,['http://www.thisismoney.co.uk/money/markets/article-4708212/DAILY-BRIEFING-Svenska-Handelsbanken-expand-UK.html']
William,Rouhana,['https://www.c21media.net/chicken-soup-to-float/']
